"SAMPLE_ID","STATUS","STATUS_DATE","REMARK"
64651,"CONFIRMED","10/04/2019",
64651,"CONFIRMED_WITH_HIGH_TOXINS","10/04/2019",
64652,"CONFIRMED","10/04/2019",
64652,"CONFIRMED_WITH_HIGH_TOXINS","10/04/2019",
64653,"NO_BLOOM","09/05/2019",
64654,"NO_BLOOM","11/12/2019",
64655,"CONFIRMED","09/05/2019",
64656,"CONFIRMED","10/09/2019",
64657,"CONFIRMED","10/17/2019",
64658,"NO_BLOOM","07/25/2019",
64659,"NO_BLOOM","11/12/2019",
64660,"NO_BLOOM","08/06/2019",
64661,"CONFIRMED","08/12/2019",
64662,"NO_BLOOM","08/15/2019",
64663,"CONFIRMED","08/22/2019",
64664,"NO_BLOOM","10/09/2019",
64665,"NO_BLOOM","07/25/2019",
64666,"NO_BLOOM","08/22/2019",
64667,"NO_BLOOM","11/12/2019",
64668,"SUSPICIOUS","07/28/2019",
64669,"SUSPICIOUS","08/15/2019",
64670,"SUSPICIOUS","09/03/2019",
64671,"CONFIRMED","09/05/2019",
64672,"NO_BLOOM","10/09/2019",
64673,"CONFIRMED","10/17/2019",
64674,"CONFIRMED","08/12/2019",
64675,"CONFIRMED","08/15/2019",
64676,,,
64677,,,
64678,,,
64679,,,
64680,,,
64681,,,
64682,,,
64683,,,
64684,,,
64692,"NO_BLOOM",,
64694,"SUSPICIOUS","08/28/2019",
64688,"NO_BLOOM","11/12/2019",
64685,"NO_BLOOM","06/13/2019",
64686,"CONFIRMED","07/02/2019",
64687,"CONFIRMED","11/12/2019",
64689,"CONFIRMED_WITH_HIGH_TOXINS","07/25/2019",
64690,"CONFIRMED","08/07/2019",
64691,"CONFIRMED","08/22/2019",
64693,"CONFIRMED","08/22/2019",
64695,"CONFIRMED_WITH_HIGH_TOXINS","09/05/2019",
64696,"NO_BLOOM","10/02/2019",
64697,"NO_BLOOM","09/05/2019",
64698,"NO_BLOOM","11/12/2019",
64699,"NO_BLOOM","09/05/2019",
64700,"NO_BLOOM","10/09/2019",
64701,"CONFIRMED","10/17/2019",
64702,"NO_BLOOM","10/23/2019",
64703,"NO_BLOOM","07/25/2019",
64704,"NO_BLOOM","11/12/2019",
64705,"NO_BLOOM","08/06/2019",
64706,"NO_BLOOM","08/12/2019",
64707,"NO_BLOOM","08/15/2019",
64708,"CONFIRMED","08/22/2019",
64709,,,
64710,,,
64711,,,
64712,"NO_BLOOM","11/12/2019",
64713,"NO_BLOOM","06/28/2019",
64714,"NO_BLOOM","11/12/2019",
64717,"CONFIRMED","08/22/2019",
64718,"CONFIRMED","09/19/2019",
64715,"CONFIRMED_WITH_HIGH_TOXINS","07/24/2019",
64716,"CONFIRMED_WITH_HIGH_TOXINS","08/22/2019",
64719,"CONFIRMED_WITH_HIGH_TOXINS","09/19/2019",
64720,"SUSPICIOUS","07/08/2019",
64721,"SUSPICIOUS","07/15/2019",
64722,"SUSPICIOUS","07/18/2019",
64723,"SUSPICIOUS","08/13/2019",
64724,"SUSPICIOUS","10/21/2019",
64725,"NO_BLOOM","05/30/2019",
64726,"NO_BLOOM","11/12/2019",
64727,"NO_BLOOM","11/12/2019",
64728,"NO_BLOOM","07/11/2019",
64729,"NO_BLOOM","07/25/2019",
64730,"NO_BLOOM","08/07/2019",
64731,"NO_BLOOM","08/21/2019",
64732,"NO_BLOOM","09/05/2019",
64733,"SUSPICIOUS","07/08/2019",
64734,"SUSPICIOUS","08/20/2019",
64735,"SUSPICIOUS","08/21/2019",
64736,"NO_BLOOM",,
64737,"SUSPICIOUS","09/17/2019",
64738,"NO_BLOOM","11/12/2019",
64739,"NO_BLOOM","11/12/2019",
64740,"NO_BLOOM","11/12/2019",
64741,"NO_BLOOM","11/12/2019",
64742,"NO_BLOOM","11/12/2019",
64743,"NO_BLOOM","11/12/2019",
64744,"CONFIRMED","06/10/2019",
64744,"NO_BLOOM","11/12/2019",
64745,"NO_BLOOM","11/12/2019",
64745,"CONFIRMED","06/10/2019",
64746,"CONFIRMED","06/10/2019",
64746,"NO_BLOOM","11/12/2019",
64747,"CONFIRMED","06/10/2019",
64747,"NO_BLOOM","11/12/2019",
64748,"NO_BLOOM","11/12/2019",
64749,"NO_BLOOM","11/12/2019",
64750,"NO_BLOOM","11/12/2019",
64751,"NO_BLOOM","09/05/2019",
64752,"NO_BLOOM","09/05/2019",
64753,"NO_BLOOM","09/05/2019",
64754,"NO_BLOOM","09/05/2019",
64755,"NO_BLOOM","09/05/2019",
64756,"NO_BLOOM","09/05/2019",
64757,"NO_BLOOM","09/05/2019",
64758,"NO_BLOOM","09/05/2019",
64759,"NO_BLOOM","09/05/2019",
64760,"NO_BLOOM","09/13/2019",
64761,"NO_BLOOM","09/13/2019",
64762,"NO_BLOOM","09/13/2019",
64763,"NO_BLOOM","09/20/2019",
64764,"NO_BLOOM","09/20/2019",
64765,"NO_BLOOM","09/20/2019",
64766,"NO_BLOOM","09/27/2019",
64767,"NO_BLOOM","09/27/2019",
64768,"NO_BLOOM","09/27/2019",
64769,"CONFIRMED","06/26/2019",
64770,"NO_BLOOM",,
64771,"NO_BLOOM",,
64772,"NO_BLOOM",,
64773,"CONFIRMED","07/08/2019",
64774,"NO_BLOOM","07/25/2019",
64775,"NO_BLOOM","07/25/2019",
64776,"NO_BLOOM","07/25/2019",
64777,"NO_BLOOM","07/11/2019",
64778,"NO_BLOOM","08/01/2019",
64779,"NO_BLOOM","08/09/2019",
64780,"NO_BLOOM","08/23/2019",
64781,"NO_BLOOM","09/06/2019",
64782,"NO_BLOOM","09/20/2019",
64783,"SUSPICIOUS","08/07/2019",
64784,"NO_BLOOM","11/12/2019",
64785,"NO_BLOOM","11/12/2019",
64786,"NO_BLOOM","07/03/2019",
64787,"NO_BLOOM","07/17/2019",
64788,"NO_BLOOM","08/01/2019",
64789,"NO_BLOOM","08/15/2019",
64790,"NO_BLOOM","09/05/2019",
64791,"NO_BLOOM","09/18/2019",
64792,"SUSPICIOUS","08/15/2019",
64793,"SUSPICIOUS","08/20/2019",
64794,,,
64795,"NO_BLOOM","11/12/2019",
64796,"NO_BLOOM","06/28/2019",
64797,"NO_BLOOM","09/20/2019",
64799,"NO_BLOOM","09/30/2019",
64798,"CONFIRMED","09/23/2019",
64800,"NO_BLOOM","11/12/2019",
64801,"NO_BLOOM",,
64802,"SUSPICIOUS","07/02/2019",
64803,"SUSPICIOUS","09/04/2019",
64804,"SUSPICIOUS","07/25/2019",
64805,"SUSPICIOUS","09/04/2019",
64806,"NO_BLOOM","11/12/2019",
64807,"NO_BLOOM","11/12/2019",
64809,"NO_BLOOM","07/11/2019",
64810,"NO_BLOOM","07/26/2019",
64811,"NO_BLOOM","08/15/2019",
64813,"NO_BLOOM","08/22/2019",
64814,"NO_BLOOM","09/06/2019",
64816,"NO_BLOOM","09/20/2019",
64808,"SUSPICIOUS","06/28/2019",
64812,"SUSPICIOUS","08/28/2019",
64815,"SUSPICIOUS","09/03/2019",
64817,"SUSPICIOUS","10/10/2019",
64818,,,
64821,"SUSPICIOUS","10/23/2019",
64819,"NO_BLOOM","11/12/2019",
64820,"CONFIRMED","09/09/2019",
64822,,,
64823,"NO_BLOOM","11/12/2019",
64824,"NO_BLOOM","11/12/2019",
64825,"NO_BLOOM","11/12/2019",
64826,"NO_BLOOM","08/26/2019",
64827,"NO_BLOOM","09/30/2019",
64828,,,
64829,,,
64830,,,
64831,"NO_BLOOM","11/12/2019",
64833,"NO_BLOOM",,
64832,"NO_BLOOM","11/12/2019",
64832,"SUSPICIOUS","07/18/2019",
64834,"CONFIRMED_WITH_HIGH_TOXINS","08/26/2019",
64835,,,
64836,,,
64837,"NO_BLOOM","11/12/2019",
64839,"NO_BLOOM",,
64840,"SUSPICIOUS","07/24/2019",
64838,"CONFIRMED","07/24/2019",
64841,"NO_BLOOM",,
64842,"NO_BLOOM","11/12/2019",
64843,"NO_BLOOM","06/03/2019",
64844,"CONFIRMED","07/16/2019",
64845,"NO_BLOOM","06/03/2019",
64846,"CONFIRMED_WITH_HIGH_TOXINS","09/05/2019",
64847,"NO_BLOOM",,
64848,"NO_BLOOM","06/03/2019",
64849,"SUSPICIOUS","07/15/2019",
